category,displayName.text,formattedAddress,rating,id,userRatingCount,internationalPhoneNumber,googleMapsUri,websiteUri,photo_url,latitude,longitude
decorator,Imagine Decorators,"shop no 3, Manuel joao residency, Butica, Navelim, Goa 403707, India",4.8,ChIJrRQPsLyzvzsRwEkmEhoQyZk,63,+91 70573 57981,https://maps.google.com/?cid=11081406062281509312,NAN,https://lh3.googleusercontent.com/places/ANXAkqFe9vhqSB_-M1buhPEZSkBfxAl6vRn8h8QQpPIGCu7VUFihKzBkRBmCz-iu_80evRKVtvVpKr1npcO_QY2pF6FmZgd4h15hg5Y=s1600-w400,15.2546081,73.9648302
decorator,Crafting Memories - Goa Wedding Planners,"Mapari Audi Plaza, Shop. No. 11, near David & Co., Madgaon, Goa 403601, India",4.9,ChIJVYJUX92zvzsRbXoT8ki-lJ8,65,+91 99237 65117,https://maps.google.com/?cid=11499024969092004461,https://www.craftingmemories.in/,https://lh3.googleusercontent.com/places/ANXAkqFSDNRL-EL-LtOfz5qBqVA53t_hmDwpyh2VC0PAIqWaPVEq8Yd6kvhmtY08fgcwf78ZoBcmsLdBTn2aZYYtmGKWgOMnzJ5wP8I=s1600-w400,15.2707341,73.9572016
decorator,CREATIVE DECORATORS,"Martin morod taliegao, Panaji, Goa 403002, India",4.8,ChIJG7NI39bBvzsR4w8VFf_FBqw,40,+91 95619 82548,https://maps.google.com/?cid=12395812723744903139,NAN,https://lh3.googleusercontent.com/places/ANXAkqEIgaO79JzWMocFytqjZ9U57zoAsDw7-q9gauunYKfZDhTUFKdE9ZhbA5FWnJKA52Sxd-72DSCrJt5Wgqh7tzgUrC6S4eFUMXU=s1600-w400,15.4658462,73.8098296
decorator,Concept Decorators,"h.no 97 Borchem, Bhatt, Caranzalem, Panaji, Goa 403002, India",4.9,ChIJhUzd5c_AvzsR83Z1W6zP1x4,39,+91 98221 92055,https://maps.google.com/?cid=2222473280306378483,NAN,https://lh3.googleusercontent.com/places/ANXAkqF96FO3BZiftGGfgF6vbRPXUNReQpLbVQmB8AFF4wZ-4tEHuzg37AwMo0_sikfJGp3Rsdz_hJGnqmSik89XFDFSonBmZdG6eA=s1600-w400,15.4681359,73.8072555
decorator,RK ENTERPRISES | Best Interior Decorator in Goa,"Shop no. AG02, Grand majestic building, Goa ceramica, opp. Hdfc bank, Nuvem, Goa 403604, India",4.9,ChIJSx8uQ6CzvzsRXsCBqi4Ul9E,341,+91 93734 92052,https://maps.google.com/?cid=15102562066071928926,http://rkenterprisesgoa.in/,https://lh3.googleusercontent.com/places/ANXAkqEiy564UtunTWNfFfUgyTBQC4AzV7OsSEkEI83cyW5-d-_55lXwOQYXPy_ZQvrv-LpJoKLlovkQVQFTKJnM8flIabpSGdOKyYw=s1600-w400,15.3175122,73.9424365
decorator,Pereira Decorators,"Church colony, Azossim, Dongrim, Goa 403104, India",4.8,ChIJq6qqqk25vzsR7s7WaEF27xE,18,+91 83085 22813,https://maps.google.com/?cid=1292381641382481646,NAN,https://lh3.googleusercontent.com/places/ANXAkqEZAAg_uxEL_GH9TJ36_aywBHzlCOFZ89_RBywo1gDlAbKa5QI7qmJZJ1FHlOxfsID5Wi5Xkt5YhDBh-6ExGE4H82nSoRZATBQ=s1600-w400,15.4654187,73.9221651
decorator,Bandhan Decorators & Event Planners,"Kelbaiwada, Mayem, Dicholi, Goa 403504, India",4.9,ChIJ_QJyoByVvzsRBmewIW4noq4,14,+91 99214 04442,https://maps.google.com/?cid=12583663662791681798,NAN,https://lh3.googleusercontent.com/places/ANXAkqEwDYQT87v284ZbqUBvoI-0icZtdK8yhK7Cb2Nbm1FdPGe-DVGR2UBmDttLpkwYjG3fKnwV1bWQpkp4t-bxJfXVdd19TQrIWvE=s1600-w400,15.5802593,73.9269569
decorator,Royal Gala Weddings,"near V M Salgaocar Institute of International Hospitality Education, Manora, Raia, Santemol, Goa 403720, India",4.9,ChIJvxH2QXyxvzsRM9bgAn4Feqg,76,+91 88064 76464,https://maps.google.com/?cid=12140021784302900787,http://www.royalgalaevents.com/,https://lh3.googleusercontent.com/places/ANXAkqGDZeBwrCEn_JNUjkZWDcqNQvOIm2bswFQ1ufz7sTseW0nw6PRGGAptTK5fnwzXhsGpxXAk5WSBM-_X2awZmtHk4NkHsUUw4nI=s1600-w400,15.3074117,73.9637072
decorator,Nyk decorators,"H No 484, Zorcantor, Kumbhar Juven, Goa 403107, India",5,ChIJ-dJrWE29vzsRu1CKDIUkOgg,14,+91 87888 12880,https://maps.google.com/?cid=592826454812283067,NAN,https://lh3.googleusercontent.com/places/ANXAkqEVbbF45TK-V9z8-THOg3TRjjiLzWWMbGXcod5MrPZSaUK9N_c2l_pH9qR5Fv6el3TlwbCy1Cv-Q_mJ5Z4wIbzNXkoIbpQr100=s1600-w400,15.5110811,73.9455923
decorator,G&C Decorators,"Fatona, Gandaulim, Colva, Goa 403708, India",4.7,ChIJv85Y7kS3vzsRt04XtB_OfHo,15,+91 90115 73546,https://maps.google.com/?cid=8826156005300063927,NAN,https://lh3.googleusercontent.com/places/ANXAkqFfYH5YseVfx_-CW773s-fI2Oy_YkiOlvMH9ErCumThcIn6IeF7wwfVB_3_Dd22IbFunWAvdEEzBSnZV23smHBhFRfazrb-EIo=s1600-w400,15.2900818,73.9219152
