category,displayName.text,formattedAddress,rating,id,types,userRatingCount,internationalPhoneNumber,googleMapsUri,websiteUri,photo_url,latitude,longitude
venue,Aanantya AC Banquet Hall,"behind JMB Capitol, Ximer, Khorlim, Mapusa, Goa 403507, India",4.7,ChIJIyUonS7rvzsRCeK_hjXh1SY,wedding,385,+91 86051 16400,https://maps.google.com/?cid=2798390363490869769,https://aanantyabanquethall.com/,https://lh3.googleusercontent.com/places/ANXAkqH6DKVxgBMzt91VT2KudsoUsS33gBEyJHyzj4krQAOmXqR_-S3C26s1RzIEGUVEMWdy_euJqMU6K4scIFPZ_uIQsoxYG4Orhgo=s1600-w400,15.5908307,73.8059143
venue,Silver Bells Wedding Venue,"off, the Highway, Alto Porvorim, Porvorim, Sangolda, Goa 403001, India",4.6,ChIJNUgf6ZzqvzsRsnf1zzpZPRI,wedding,1782,+91 98221 81222,https://maps.google.com/?cid=1314304775393998770,https://www.weddingvenuesingoa.com/,https://lh3.googleusercontent.com/place-photos/ADOriq04VeXNbBJ0Dc65lTGNPZAtE6vpUj1vgvHxws1gidXm4luzKh4FjIfDI4qd-KvOFLWhccAawsf4KX4T32HQz42qcChd6mNDwcY4v5t6h-gvK3ncnUhmDiP4IJZlOI-MMNkIJ3QCze9FBL4JWSs=s1600-w400,15.552283,73.8081795
venue,Golden Orchid,"Duler Ground Rd, near Severina, Mapusa, Goa 403507, India",4.4,ChIJIaSlMhfrvzsRUqMogpGlBrU,wedding,478,+91 88887 00444,https://maps.google.com/?cid=13044295415097762642,https://www.thegoldenorchid.com/,https://lh3.googleusercontent.com/places/ANXAkqHOGu0TdlFIQrx8rk3YJsTvYwOsO7Lp1kga1j2dohfWd9_K07AcZLw3hf_Tjx4kFNcovDcykNlz2hAPCqqwYbHMnAXyUTg7lQ=s1600-w400,15.6071801,73.8130494
venue,Dos Equis Exotic Lounge,"Arrao Road, Olaulim-Pomburpa, Bardez, Goa 403523, India",4.2,ChIJ_xpUbEOVvzsR3_oDhAvxol4,wedding,221,+91 90490 20542,https://maps.google.com/?cid=6819277817554139871,https://m.facebook.com/dosequis.weddingvenue/,https://lh3.googleusercontent.com/place-photos/ADOriq0GLphgXVnNYlXVf2gCKT-29aG9ySevQoGJAFfpzA3wi0ALdAmiqF_hn1HsmTZIRITRC1lT2uU0OeVbMhHchqQ_CQcx1ehNAgvx48kdXrL1O0e9UAYKbYtH-Ji9JV9D2bEHgEh-sADyoK8CMw=s1600-w400,15.5660232,73.860802
venue,Penha-De-Franca Open Air Venue,"GR5V+C7M, Alto Porvorim, Penha de Franc, Goa 403101, India",4.5,ChIJ_WgHi4C_vzsRPE6-QveupNI,wedding,595,+91 832 241 2791,https://maps.google.com/?cid=15178449021145337404,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq18K4CYTsrpHmfJLeUdlT2s4rbxdhm2lq04kMPIkIXLqjh3lCDfP6k0Zo5NPpIbfCzqtrNIUeXYe5L0T-H5XZrIOjoHXGLmxqjS87hwU1tm-QKPxOaXCIXaYIxE2b9ucCFTyuZsZXaFXtRo3Q=s1600-w400,15.5085976,73.8431678
venue,Arpora Hills - Best Event Venue in Goa/Open Air Wedding Venue in Goa,"Arpora Hills, Arpora, Calangute, Goa 403516, India",4.7,ChIJVxNvfYPrvzsR0kE07RcaYX4,wedding,117,+91 88883 33087,https://maps.google.com/?cid=9106588611586048466,https://www.arporahills.com/,https://lh3.googleusercontent.com/places/ANXAkqFHl8Yrx_qpxLBsjkgAkWWhaiEoSgX4d9EhpLTmuOa9WBz86D6tkIAqFv94m_cV7_qmsowY9CDe_DR6iPWphkLP8IKLf3QPSC8=s1600-w400,15.5747054,73.7678489
venue,Cotta Mansion - The Indo Portuguese Heritage Venue,"H.No. 734, Malwara, AGACAIM. P.O. St. Lourenco. GOA 403204, Pequeno Mercurim, Agaçaim, Goa 403104, India",4.3,ChIJVVVVVQ65vzsRzc_CBfR2EVE,wedding,327,+91 96231 37989,https://maps.google.com/?cid=5841580982116995021,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq3jgPBMWJlfnFZP1MVpUEkI2JA8wPE5V9FE7WSYED8NFY0ru_2qfp73Z8bm8TG96zYVHRnMOQKbY1X-uaC59MlVLc6dyErI_A2xAwnM9autT5NcRUesTWH445GPlGWplX28ZA4nwWZ9iReL=s1600-w400,15.4333282,73.8963604
venue,The Venue,"Off, Bishop Rebello Road, near SGPDA Market Complex, opposite ravindra bhavan, Fatorda, Madgaon, Goa 403601, India",4.6,ChIJP6RNxd-zvzsRIq5FLr7d09o,corporate,269,+91 98508 87825,https://maps.google.com/?cid=15768190529244081698,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq0tOnI8rUbQQJl9h_3ljFzyexEvtPyN-DoDZg986E_QfgGueN5u8KccXVxf9PiELuKwZUPqHvoWVxk96s1HH9bEuI270lkAGLtr7p5353axdl-8FekGrJvGxCw2r3B_oLmDtVf--21eyVpH1g=s1600-w400,15.2852831,73.9604045
venue,Quinta de Valadares,"Quality Farms, Road, off NH 17 Bypass, Cansaulim, Verna, Goa 403722, India",4.4,ChIJOQxmNzi3vzsR2Mn2XQk0ZPo,wedding,947,+91 98221 77179,https://maps.google.com/?cid=18042603221988854232,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq3-8uADCnHmucw9UX59UQl9b8s8kbuKeSvqJKWtW17cA75sZwaylgW8_kaky-Ckz1s9MK8MFHaSvtB3VEZ5LVX9dp8wJtpCok9wdfpgoYLOzbrAT5DqXrdjaQlbpIpfZHMmIk3ZbgACiWPmGA=s1600-w400,15.350751,73.923
venue,Lalit Garden Open Air Venue,"Ambaulim Cuncolim Road Ambaulim, Quepem, Goa 403705, India",4.2,ChIJ7Y_MKgFTvjsR_5SUW6zhHFQ,birthday,30,+91 94038 49404,https://maps.google.com/?cid=6060967328920933631,NAN,https://lh3.googleusercontent.com/places/ANXAkqHXEZ4d7iHblLjOZFcrF0ebj-R7FisgXGhFktONxIm--Ht_oy3YUsTKjxLxcbjNGCCQ8TFgccjC0PEzFoYCsWoQra5VdY3agKU=s1600-w400,15.19487,74.0522385
venue,GOD'S GARDEN WEDDINGS VENUE,"8WRP+GJG, Road to udear spring Ambulor, near ambulor lake, Verna, Goa 403722, India",4.2,ChIJPzaC56WxvzsRZ-UAgSkZdoc,wedding,167,+91 86058 30212,https://maps.google.com/?cid=9761016908420801895,NAN,https://lh3.googleusercontent.com/places/ANXAkqGnd9_DX94ymlUZR40VXwgOTPo9cUVSyVygCyeqrYPk7n8JQhFzJ8zdRsOe76dMo8rvovLdBJxK2RJRdMQJ6DAvd1_jkY47RAk=s1600-w400,15.3432736,73.9392279
venue,Old Heritage Open Air Venue,"Pilar - Neura Road, Pilar Old Goa Rd, Near Sulabhat Lake, Agaçaim, Goa 403402, India",4.3,ChIJ33N8gxe5vzsRU4Y5j61TiJk,wedding,773,+91 98221 02565,https://maps.google.com/?cid=11063184489532982867,NAN,https://lh3.googleusercontent.com/places/ANXAkqHMzu_CY5tP92cIAwOEY96VEpj0Jdm28tEQWEeju7wRT2TdwWj8u1iV0mv32EFvpRGxHKIamjG2eFp8tValxgVLWCs6AYraY1s=s1600-w400,15.4395644,73.9012903
venue,Coco Loco Lawns,"Merkuri, Agaçaim, Goa 403104, India",4.3,ChIJR6GBsQW5vzsRTPjnNw1_UBI,birthday,391,+91 98221 23169,https://maps.google.com/?cid=1319694385568806988,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq1b9pWxLPLxPoJABE4WCm3yhK7SR0Ahd6bi6MixJJYc3pEsr-fSPf6iAB_V1wMnP9jn2LbGbXv-d-4hXjo4iQxBFarnyQrFk8VpAj32-ym7zO3_VC3cGOkGjDX-PZdtMNi7hhWMgCfAwjlRDo4=s1600-w400,15.4266437,73.8976542
venue,Hills View A Royal Open Air Venue,"near BSNL Inspection Quarters, behind Vernekar Bar and Restaurant, Cabesa Ward, Bambolim, Santa Cruz, Goa 403202, India",4.7,ChIJmzkr7j65vzsRuN8j6OjIXAM,wedding,32,+91 79723 96879,https://maps.google.com/?cid=242289382623797176,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq3JY26Am_7av2ByMpv4DMS2fXW1l3sGo1LG1rrGdFt5MaUEuxkHPfUqsRViPrjn9EmLHT-lt3dIvOUBTJm6NV5a-7xEBWG6FyfLbN2iJq2vY1nOI-vlkQ64pHOVOpvS4HuEa6ayMdPz-6Y0qA=s1600-w400,15.4607643,73.850636
venue,Blueberry Hill,"Blueberry Hill, NH17B, Airport Rd, Verna, Cortalim, Goa 403722, India",4.3,ChIJa_FrhDa3vzsRZTM3vTLDq9w,wedding,909,+91 8408073312,https://maps.google.com/?cid=15901017532051960677,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq0DILi3hStEARp3izM-1OTtGCNssy7npl0jL_8YtbAefJsQVgSb26JXzb-PaRLWmZVPu7tWlwh1HW7LCnZlCmoShX3OBZOEYKd6wi0V8zK5lYn65E7z-dU-IhNVbTy5_2_csG6HZDK_toSiqzg=s1600-w400,15.3767057,73.9174278
venue,Grand Celebrations Banquet Hall,"E BLOCK PONDA AGRI BAZAR COMPLEX, Ponda, Goa 403401, India",4.5,ChIJZVTOT6-7vzsRn1PuV_TF8B8,wedding,262,+91 83789 72573,https://maps.google.com/?cid=2301557062824252319,NAN,https://lh3.googleusercontent.com/places/ANXAkqHEzOlLNkjuebc2PxBlt1pzMbGVJf8nUqVz-v45rMEIfTGxp7F3IVkScO__JzHiscqI3rGbIAqTOeOCYl4LlNYT_DhJ66xogdc=s1600-w400,15.3995955,74.0180044
venue,Costa’s Countryside,"Varca, Goa 403721, India",4.6,ChIJ4_Rtmtm1vzsR4D5h4KlLRdU,birthday,409,+91 87999 80631,https://maps.google.com/?cid=15367772496457711328,https://costascountryside.in/,https://lh3.googleusercontent.com/places/ANXAkqFXkRFnPItsn5HG7QSzEmNUZihV5V1VeFMkRadMii4SJsMNKNxYnqaX4CyfcTGy7umqxccHrdwTytGQZl2W-B7KjGhw3JJYNA=s1600-w400,15.2340065,73.9322958
venue,Livramento Open Air Venue,"Panchayat Building, St. Ann's School Road, Near, Danva Rd, Indira Nagar, Tivim, Goa 403502, India",5,ChIJ_1noO_KVvzsRCMIwRZBeqN0,birthday,11,+91 75071 69658,https://maps.google.com/?cid=15972120052198588936,NAN,https://lh3.googleusercontent.com/places/ANXAkqGNUpbVufXzPA9HHUcnBl3CwOHk4RaMtJlizyUxtapOFk4W5GbVMi-InWfb5yYtsRKj7JgzwDmHqZrXLQW8slvOYwDQ_X-uUyY=s1600-w400,15.6226229,73.8561957
